batter,game_year,name_last,name_first,plate_appearance,speciality_score
110029.0,2014.0,abreu,bobby,647,192.67563245860308
112526.0,2014.0,colon,bartolo,216,68.72842347525892
112526.0,2016.0,colon,bartolo,232,54.52380952380952
114739.0,2014.0,giambi,jason,262,126.49812734082397
116338.0,2014.0,hunter,torii,2032,404.28826478937907
116338.0,2015.0,hunter,torii,1134,215.9072848163664
116380.0,2014.0,ibanez,raul,1102,195.41122316423238
116539.0,2014.0,jeter,derek,2214,283.3765660179294
117244.0,2014.0,konerko,paul,845,204.9443838202883
120074.0,2014.0,ortiz,david,2384,220.30059748229615
120074.0,2015.0,ortiz,david,1433,291.9190980635023
120074.0,2016.0,ortiz,david,2472,256.1404581482864
121347.0,2015.0,rodriguez,alex,1465,187.19017277645744
121347.0,2016.0,rodriguez,alex,915,217.81410103086478
133380.0,2014.0,ramirez,aramis,1786,236.90921291208906
133380.0,2015.0,ramirez,aramis,1072,246.1846078605338
134181.0,2014.0,beltre,adrian,2304,279.50470797228576
134181.0,2015.0,beltre,adrian,1543,240.56168846291936
134181.0,2016.0,beltre,adrian,2442,255.98670815088727
134181.0,2017.0,beltre,adrian,1574,202.3538930058226
134181.0,2018.0,beltre,adrian,1857,203.01426635351964
136767.0,2014.0,chavez,eric,344,167.80458430458432
136860.0,2014.0,beltran,carlos,1682,330.0116356858147
136860.0,2015.0,beltran,carlos,1243,242.69363969363968
136860.0,2016.0,beltran,carlos,2186,263.2664242421929
136860.0,2017.0,beltran,carlos,2014,218.23429999346894
150029.0,2014.0,werth,jayson,2741,213.36923658079095
150029.0,2015.0,werth,jayson,1072,174.3364374113226
150029.0,2016.0,werth,jayson,2785,217.05927753578365
150029.0,2017.0,werth,jayson,1405,183.56938448808518
150040.0,2014.0,molina,jose,905,201.74949543419663
150093.0,2014.0,soriano,alfonso,892,241.462129635017
150212.0,2014.0,cuddyer,michael,727,211.26884471131552
150212.0,2015.0,cuddyer,michael,626,266.06248823640124
150229.0,2014.0,pierzynski,a. j.,1243,461.3323884332093
150229.0,2015.0,pierzynski,a. j.,889,299.8436665859169
150229.0,2016.0,pierzynski,a. j.,822,347.82026236183015
150289.0,2014.0,pena,carlos,212,285.5897435897436
150348.0,2014.0,mcdonald,john,361,211.14219114219114
150359.0,2014.0,burnett,a. j.,260,139.51169839916642
217100.0,2014.0,bloomquist,willie,497,214.8399671842822
218596.0,2014.0,hudson,tim,263,166.13119143239626
276055.0,2014.0,dunn,adam,2171,163.099397872058
276519.0,2014.0,rollins,jimmy,2505,208.7365934148635
276519.0,2015.0,rollins,jimmy,1163,225.80419723381814
276519.0,2016.0,rollins,jimmy,679,218.33333333333331
285064.0,2014.0,vogelsong,ryan,247,146.4348370927318
285078.0,2014.0,hamilton,josh,1423,279.16391324159673
285078.0,2015.0,hamilton,josh,647,267.7391677391677
285079.0,2017.0,dickey,r. a.,212,199.4450285961361
346795.0,2014.0,chavez,endy,955,232.7203318175075
346798.0,2014.0,lohse,kyle,272,157.32392473118279
346857.0,2014.0,punto,nick,940,297.2123764606673
346874.0,2014.0,uribe,juan,1445,273.9034216244161
346874.0,2015.0,uribe,juan,901,225.14135718083088
346874.0,2016.0,uribe,juan,933,283.97435897435895
400085.0,2014.0,suzuki,ichiro,1516,220.6640008650558
400085.0,2015.0,suzuki,ichiro,1028,298.66392390289445
400085.0,2016.0,suzuki,ichiro,1448,264.11801477853726
400085.0,2017.0,suzuki,ichiro,865,202.97412381435066
400121.0,2014.0,martinez,victor,2615,254.97865977824745
400121.0,2015.0,martinez,victor,1396,355.9534144859751
400121.0,2016.0,martinez,victor,2290,235.44098495810098
400121.0,2017.0,martinez,victor,1652,318.30558936169143
400121.0,2018.0,martinez,victor,1894,254.9885338473568
400284.0,2014.0,utley,chase,2519,278.1487505212421
400284.0,2015.0,utley,chase,705,328.7947384053603
400284.0,2016.0,utley,chase,2224,225.93189680886977
400284.0,2017.0,utley,chase,1398,241.956100114545
400284.0,2018.0,utley,chase,738,213.48632042180424
405395.0,2014.0,pujols,albert,2580,288.14241911003495
405395.0,2015.0,pujols,albert,1523,243.9831445120473
405395.0,2016.0,pujols,albert,2512,266.62683911139516
405395.0,2017.0,pujols,albert,2478,219.43554432570846
405395.0,2018.0,pujols,albert,1757,223.5429426070324
406878.0,2014.0,roberts,brian,1402,196.2381933768378
407489.0,2014.0,overbay,lyle,1135,282.02091925438424
407781.0,2014.0,byrd,marlon,2368,223.0639113336627
407781.0,2015.0,byrd,marlon,1314,185.25288360613055
407781.0,2016.0,byrd,marlon,493,157.69653536267094
407793.0,2016.0,lackey,john,235,117.47007894066718
407793.0,2017.0,lackey,john,222,116.62337662337663
407812.0,2014.0,holliday,matt,2559,276.2526423020605
407812.0,2015.0,holliday,matt,298,221.68936136327443
407812.0,2016.0,holliday,matt,1563,233.24842236770965
407812.0,2017.0,holliday,matt,1738,179.98548425744332
407812.0,2018.0,holliday,matt,307,136.0661918726435
407822.0,2014.0,de la rosa,jorge,207,172.5327812284334
407833.0,2014.0,buck,john,380,144.1890089644173
407862.0,2014.0,johnson,reed,698,383.18404136807777
407885.0,2014.0,ellis,mark,850,184.9460766548636
407886.0,2014.0,ludwick,ryan,1506,244.602754899817
407893.0,2014.0,teixeira,mark,2084,346.2474990556918
407893.0,2015.0,teixeira,mark,830,189.43896151395876
407893.0,2016.0,teixeira,mark,1780,186.2838401468134
408042.0,2014.0,laird,gerald,585,165.48603036641313
408045.0,2014.0,mauer,joe,2149,222.67267473108518
408045.0,2015.0,mauer,joe,1636,207.44140528905905
408045.0,2016.0,mauer,joe,2465,215.090790872979
408045.0,2017.0,mauer,joe,2614,219.44043787842097
408045.0,2018.0,mauer,joe,2163,201.59481566351772
408047.0,2014.0,morneau,justin,1896,304.4549770716099
408047.0,2015.0,morneau,justin,298,218.6809877736822
408047.0,2016.0,morneau,justin,840,213.75362707112467
408210.0,2014.0,figgins,chone,373,164.6190476190476
408234.0,2014.0,cabrera,miguel,2553,370.28569389262293
408234.0,2015.0,cabrera,miguel,868,255.88705738705735
408234.0,2016.0,cabrera,miguel,2476,270.3200967963988
408234.0,2017.0,cabrera,miguel,2033,291.71751994212696
408234.0,2018.0,cabrera,miguel,574,255.3839658636979
408236.0,2014.0,gonzalez,adrian,2506,270.5854433542078
408236.0,2015.0,gonzalez,adrian,1489,225.85227078776086
408236.0,2016.0,gonzalez,adrian,2389,236.62780421058568
408236.0,2017.0,gonzalez,adrian,890,230.36411434492496
408236.0,2018.0,gonzalez,adrian,658,185.75681034368557
408242.0,2014.0,nieves,wil,423,222.78351441142138
408252.0,2014.0,phillips,brandon,1824,358.93744868986823
408252.0,2015.0,phillips,brandon,1391,201.79201627256543
408252.0,2016.0,phillips,brandon,2091,251.05279996475008
408252.0,2017.0,phillips,brandon,2088,234.5534690148083
408299.0,2014.0,infante,omar,2213,285.3593184683188
408299.0,2015.0,infante,omar,824,410.74912486414394
408299.0,2016.0,infante,omar,510,273.9524963185712
408307.0,2014.0,crawford,carl,1344,234.21142616580306
408307.0,2015.0,crawford,carl,551,196.92830978545265
408307.0,2016.0,crawford,carl,290,276.7941317941318
408314.0,2014.0,reyes,jose,2305,306.19036419127553
408314.0,2015.0,reyes,jose,1212,251.72193441360486
408314.0,2016.0,reyes,jose,1067,173.2610544217687
408314.0,2017.0,reyes,jose,2068,284.47509316626906
408314.0,2018.0,reyes,jose,963,300.7698842083426
421124.0,2014.0,santiago,ramon,813,221.2973795840175
421685.0,2014.0,harang,aaron,232,96.18115218115219
424325.0,2014.0,ross,david,709,148.11642428324325
424325.0,2015.0,ross,david,448,130.90163859447986
424325.0,2016.0,ross,david,851,110.55683451628983
424825.0,2014.0,crisp,coco,2163,230.21140719408402
424825.0,2015.0,crisp,coco,337,212.19003949267108
424825.0,2016.0,crisp,coco,1899,208.83531656378025
425491.0,2014.0,doumit,ryan,657,145.01520715107006
425496.0,2014.0,ross,cody,858,307.51650154464323
425509.0,2014.0,peralta,jhonny,2584,205.9796169299582
425509.0,2015.0,peralta,jhonny,1488,220.81960196403344
425509.0,2016.0,peralta,jhonny,1203,165.52767966549453
425509.0,2017.0,peralta,jhonny,216,161.4850266013057
425543.0,2014.0,wilson,josh,229,154.1090509625979
425545.0,2014.0,willingham,josh,1542,213.22140405611398
425549.0,2014.0,barmes,clint,446,347.51864767993806
425549.0,2015.0,barmes,clint,491,204.69356929210943
425557.0,2014.0,baker,jeff,824,201.36130536130537
425560.0,2014.0,laroche,adam,2406,198.02569592819717
425560.0,2015.0,laroche,adam,924,202.51173877685716
425567.0,2014.0,rios,alex,2023,260.8952006993607
425567.0,2015.0,rios,alex,1382,212.90345651603252
425664.0,2014.0,victorino,shane,527,204.42242942242945
425664.0,2015.0,victorino,shane,494,258.78987958819897
425766.0,2014.0,loney,james,2390,283.975232015972
425766.0,2015.0,loney,james,890,335.41247292004283
425766.0,2016.0,loney,james,1248,261.5532918572147
425772.0,2014.0,mathis,jeff,716,159.1797085490912
425772.0,2015.0,mathis,jeff,303,250.69396051103368
425772.0,2016.0,mathis,jeff,447,207.3137973137973
425772.0,2017.0,mathis,jeff,783,262.96246926547974
425772.0,2018.0,mathis,jeff,858,163.072384440309
425783.0,2014.0,choo,shin-soo,2139,323.5662109717878
425783.0,2015.0,choo,shin-soo,1640,198.93581325548516
425783.0,2016.0,choo,shin-soo,846,237.99414869929254
425783.0,2017.0,choo,shin-soo,2542,205.91164542976486
425783.0,2018.0,choo,shin-soo,2721,180.7960676982562
425784.0,2014.0,rivera,rene,1270,204.99933299611337
425784.0,2015.0,rivera,rene,498,189.25707006352167
425784.0,2016.0,rivera,rene,754,182.31403672580143
425784.0,2017.0,rivera,rene,872,168.65314931486083
425784.0,2018.0,rivera,rene,342,98.17448031844316
425794.0,2014.0,wainwright,adam,286,153.76737078562635
425794.0,2016.0,wainwright,adam,227,276.2895622895623
425796.0,2015.0,francoeur,jeff,647,315.59088034212374
425796.0,2016.0,francoeur,jeff,1244,194.25275707779818
