,last,first,playerID
0,Abreu,Jose,abreujo02
1,Adams,Matt,adamsma01
2,Adrianza,Ehire,adriaeh01
3,Aguilar,Jesus,aguilje01
4,Ahmed,Nick,ahmedni01
5,Alberto,Hanser,alberha01
6,Alfaro,Jorge,alfarjo01
7,Alonso,Yonder,alonsyo01
8,Altherr,Aaron,altheaa01
9,Altuve,Jose,altuvjo01
10,Anderson,Brian,anderbr02
11,Anderson,Brian,anderbr03
12,Anderson,Tim,anderti01
13,Andrus,Elvis,andruel01
14,Arcia,Orlando,arciaor01
15,Arenado,Nolan,arenano01
16,Austin,Tyler,austity01
17,Avila,Alex,avilaal01
18,Baez,Javier,baezja01
19,Barnes,Austin,barneau01
20,Barnhart,Tucker,barnhtu01
21,Bautista,Jose,bautijo01
22,Bautista,Jose,bautijo02
23,Beckham,Tim,beckhti01
24,Bell,Josh,belljo01
25,Bell,Josh,belljo02
26,Belt,Brandon,beltbr01
27,Benintendi,Andrew,beninan01
28,Betts,Mookie,bettsmo01
29,Bird,Greg,birdgr01
30,Blackmon,Charlie,blackch02
31,Bogaerts,Xander,bogaexa01
32,Bour,Justin,bourju01
33,Brantley,Michael,brantmi02
34,Braun,Ryan,braunry01
35,Braun,Ryan,braunry02
36,Bregman,Alex,bregmal01
37,Brito,Socrates,britoso01
38,Broxton,Keon,broxtke01
39,Bruce,Jay,bruceja01
40,Bryant,Kris,bryankr01
41,Buxton,Byron,buxtoby01
42,Cabrera,Asdrubal,cabreas01
43,Cabrera,Melky,cabreme01
44,Cabrera,Miguel,cabremi01
45,Cain,Lorenzo,cainlo01
46,Calhoun,Kole,calhoko01
47,Candelario,Jeimer,candeje01
48,Canha,Mark,canhama01
49,Cano,Robinson,canoro01
50,Carpenter,Matt,carpema01
51,Casali,Curt,casalcu01
52,Castillo,Welington,castiwe01
53,Castro,Jason,castrja01
54,Castro,Starlin,castrst01
55,Cervelli,Francisco,cervefr01
56,Cespedes,Yoenis,cespeyo01
57,Chirinos,Robinson,chiriro01
58,Chisenhall,Lonnie,chiselo01
59,Choi,Ji-Man,choiji01
60,Choo,Shin-Soo,choosh01
61,Conforto,Michael,confomi01
62,Contreras,Willson,contrwi01
63,Correa,Carlos,correca01
64,Cozart,Zack,cozarza01
65,Crawford,Brandon,crawfbr01
66,Cruz,Nelson,cruzne01
67,Cruz,Nelson,cruzne02
68,Culberson,Charlie,culbech01
69,Dahl,David,dahlda01
70,d'Arnaud,Travis,darnatr01
